MLS #,PicCount,Status,Type,L Price,Address,District,Bds,Bths,Liv-SF,City,State,Zip
404836,1,CXL,SF,"$1,100,000 ",36 Kupalaiki Loop,Kihei,3,2,"1,190",Kihei,HI,96753
406432,40,CXL,SF,"$1,275,000 ",193 Akai St,Kihei,3,1,"1,760",Kihei,HI,96753
404629,50,CXL,SF,"$1,299,000 ",163 Auhana Rd,Kihei,2,1,594,Kihei,HI,96753
406111,50,EXP,SF,"$1,325,000 ",473 Kalalau Pl,Kihei,3,2,"1,520",Kihei,HI,96753
405096,45,CXL,SF,"$1,485,000 ",18 Luanaiki Pl,Kihei,3,2,"1,680",Kihei,HI,96753
404985,36,CXL,SF,"$1,625,000 ",2180 AUINA Pl,Kihei,3,2,"1,716",Kihei,HI,96753
405160,50,CXL,SF,"$1,795,000 ",66 Laumakani Loop,Kihei,3,3,"2,294",Kihei,HI,96753
404899,50,CXL,SF,"$1,899,900 ",1387 Hihimanu St,Kihei,3,2,"1,831",Kihei,HI,96753
405191,41,CXL,SF,"$2,200,000 ",270 Umeke St,Kihei,3,2.5,"2,450",Kihei,HI,96753
405040,38,CXL,SF,"$2,218,888 ",286 KuliPuu Pl,Kihei,5,4,"2,219",Kihei,HI,96753
405071,47,CXL,SF,"$2,249,000 ",94 Laukahi St,Kihei,4,3,"2,616",Kihei,HI,96753
405267,39,CXL,SF,"$2,475,000 ",182 Ponana St,Kihei,3,2.5,"2,088",Kihei,HI,96753
405260,21,CXL,SF,"$2,750,000 ",185 Auhana Rd,Kihei,3,1.5,"1,444",Kihei,HI,96753
404914,50,CXL,SF,"$3,850,000 ",130 Hokai Pl,Kihei,3,2.5,"3,029",Kihei,HI,96753
405282,47,CXL,SF,"$3,850,000 ",144 Hoolapa St,Kihei,3,3,"3,094",Kihei,HI,96753
