MLS #,PicCount,Status,Type,L Price,Address,District,Bds,Bths,Liv-SF,City,State,Zip
351371,20,SLD,SF,"$61,900 ",7 Kuapapa PL,Kihei,4,2,"1,152",Kihei,HI,96753
349205,8,SLD,SF,"$152,500 ",312 Hoalike ST,Kihei,2,1,864,Kihei,HI,96753
370754,28,EXP,SF,"$160,000 ",162 Kukulu Pl,Kihei,3,1,864,Kihei,HI,96753
325959,7,SLD,SF,"$165,000 ",155 J Auhana ST,Kihei,1,1,500,Kihei,HI,96753
325953,10,SLD,SF,"$165,000 ",155 A Auhana ST,Kihei,1,1,500,Kihei,HI,96753
348882,16,SLD,SF,"$174,500 ",41 KEALA PL,Kihei,3,1.5,"1,458",Kihei,HI,96753
326828,7,CXL,SF,"$178,888 ",52 Walaka ST,Kihei,1,1,431,Kihei,HI,96753
342648,14,SLD,SF,"$184,900 ",13 Kuapapa PL,Kihei,4,1.5,"1,056",Kihei,HI,96753
342036,20,SLD,SF,"$186,900 ",64 Lipoa ST,Kihei,3,2,"1,200",Kihei,HI,96753
345682,9,SLD,SF,"$189,000 ",74 KUPALAIKI Loop,Kihei,3,1,"1,152",Kihei,HI,96753
353031,6,SLD,SF,"$198,900 ",80 KUPALAIKI Loop,Kihei,3,1,864,Kihei,HI,96753
337841,15,SLD,SF,"$199,000 ",155 Auhana RD,Kihei,2,1,720,Kihei,HI,96753
314053,0,SLD,SF,"$199,500 ",162 Kukulu PL,Kihei,3,1,864,Kihei,HI,96753
347637,24,SLD,SF,"$199,900 ",321 Manini PL,Kihei,3,1.5,"1,592",Kihei,HI,96753
349426,1,SLD,SF,"$201,900 ",194 Eleu ST,Kihei,3,1,"1,168",Kihei,HI,96753
352918,12,SLD,SF,"$209,000 ",59 ALIILANI PL,Kihei,2,1,864,Kihei,HI,96753
350077,1,CXL,SF,"$209,900 ",145 Ohukai RD,Kihei,3,1,"1,136",Kihei,HI,96753
349599,3,CXL,SF,"$209,900 ",145 Ohukai RD,Kihei,3,1,"1,136",Kihei,HI,96753
341927,1,SLD,SF,"$212,000 ",170 Kukulu,Kihei,3,1.5,"1,056",Kihei,HI,96753
347486,18,CXL,SF,"$214,500 ",194 Eleu PL,Kihei,3,1,"1,168",Kihei,HI,96753
340433,12,CXL,SF,"$218,000 ",71 KUPALAIKI Loop,Kihei,3,2,"1,392",Kihei,HI,96753
348889,17,SLD,SF,"$219,000 ",69 Aliilani PL,Kihei,3,1.5,864,Kihei,HI,96753
351544,11,EXP,SF,"$224,900 ",976 Konia PL,Kihei,2,1,500,Kihei,HI,96753
303672,0,SLD,SF,"$225,000 ",144 Lipoa ST,Kihei,3,2,"1,360",Kihei,HI,96753
345599,4,CXL,SF,"$225,000 ",145 OHUKAI,Kihei,3,1,"1,136",Kihei,HI,96753
351096,9,SLD,SF,"$225,000 ",340 KAIOLA PL,Kihei,3,2,"1,250",Kihei,HI,96753
337840,3,SLD,SF,"$225,000 ",155 Auhana RD,Kihei,2,1,720,Kihei,HI,96753
347395,9,SLD,SF,"$232,500 ",1667 S Kihei RD,Kihei,3,2,960,Kihei,HI,96753
340534,1,CXL,SF,"$235,000 ",69 Aliilani PL,Kihei,3,1.5,864,Kihei,HI,96753
340191,16,CXL,SF,"$235,900 ",58 KUPALAIKI Loop,Kihei,4,1.5,"1,056",Kihei,HI,96753
343617,16,SLD,SF,"$235,900 ",58 KUPALAIKI Loop,Kihei,4,1.5,"1,056",Kihei,HI,96753
347412,1,SLD,SF,"$237,500 ",209 Paka PL,Kihei,3,1,"1,025",Kihei,HI,96753
302693,0,CXL,SF,"$239,000 ",24 Eleu PL,Kihei,2,1,550,Kihei,HI,96753
345999,2,SLD,SF,"$239,900 ",287 Hoalike ST,Kihei,2,2,"1,188",Kihei,HI,96753
344912,5,SLD,SF,"$240,000 ",1667 S Kihei RD,Kihei,3,2,960,Kihei,HI,96753
346713,2,SLD,SF,"$245,000 ",155-H Auhana RD,Kihei,3,2,929,Kihei,HI,96753
350633,0,SLD,SF,"$245,000 ",224 Kauhaa ST,Kihei,2,2,987,Kihei,HI,96753
346712,8,SLD,SF,"$245,000 ",155-B Auhana RD,Kihei,3,1,"1,070",Kihei,HI,96753
337101,11,SLD,SF,"$249,000 ",295 Ailana PL,Kihei,2,1,500,Kihei,HI,96753
351392,1,SLD,SF,"$249,000 ",462 KAIOLOHIA ST,Kihei,8,4,"3,040",Kihei,HI,96753
338717,13,SLD,SF,"$249,000 ",245 Pakalana PL,Kihei,3,1,912,Kihei,HI,96753
354852,0,SLD,SF,"$250,000 ",244 Kenolio RD,Kihei,3,2,"1,056",Kihei,HI,96753
345425,0,SLD,SF,"$250,000 ",857 Mahealani ST,Kihei,3,2,"1,071",Kihei,HI,96753
354850,0,SLD,SF,"$250,000 ",240 Kenolio RD,Kihei,3,2,"1,056",Kihei,HI,96753
344733,7,EXP,SF,"$250,000 ",313 Hoalike ST,Kihei,5,2,"1,296",Kihei,HI,96753
354851,0,SLD,SF,"$250,000 ",242 Kenolio RD,Kihei,3,2,"1,056",Kihei,HI,96753
344528,18,SLD,SF,"$253,300 ",511 Kaiolohia ST,Kihei,3,2,960,Kihei,HI,96753
348713,17,SLD,SF,"$254,500 ",124 Waiapo PL,Kihei,3,2,"1,238",Kihei,HI,96753
335830,20,SLD,SF,"$256,405 ",14 Kuapapa PL,Kihei,4,1.5,"1,056",Kihei,HI,96753
